restaurantname,pricerange,area,food,phone,addr,postcode,crowdedness,length_of_stay
j restaurant,cheap,centre,fusion,01223 307581,86 regent street city centre,c.b 2,calm,moderate
la margherita,cheap,south,italian,01223 315232,15 magdalene street city centre,c.b 3,calm,moderate
cocum,expensive,east,gastropub,01223 366668,71 castle street city centre,c.b 3,calm,short
city stop restaurant,expensive,north,tuscan,01223 363270,cambridge city football club milton road chesterton,,busy,long
sala thong,expensive,west,thai,01223 323178,35 newnham road newnham,c.b 3,moderate,short
don pasquale pizzeria,expensive,south,european,01223 350106,12 market hill city centre,,moderate,moderate
little seoul,expensive,centre,korean,01223 308681,108 regent street city centre,c.b 2,moderate,short
rice house,cheap,south,chinese,01223 367755,88 mill road city centre,,busy,short
the river bar steakhouse and grill,cheap,centre,modern european,01223 307030,quayside off bridge street,c.b 5,busy,long
nandos city centre,cheap,centre,portuguese,01223 327908,33-34 saint andrews street,c.b 2,moderate,long
prezzo,moderate,west,italian,01799 521260,21 - 24 northampton road,c.b 3,busy,long
galleria,moderate,centre,european,01223 362054,33 bridge street,c.b 2,calm,long
bloomsbury restaurant,moderate,north,international,0871 942 9180,crowne plaza hotel 20 downing street,c.b 2,busy,short
the good luck chinese food takeaway,expensive,south,chinese,01223 244149,82 cherry hinton road cherry hinton,c.b 1,busy,moderate
the varsity restaurant,moderate,centre,international,01223 356060,35 saint andrews street city centre,c.b 2,moderate,moderate
de luca cucina and bar,moderate,centre,modern european,01223 356666,83 regent street,c.b 2,moderate,moderate
da vinci pizzeria,cheap,north,traditional,01223 351707,20 milton road chesterton,c.b 4,moderate,moderate
shiraz restaurant,expensive,centre,mediterranean,01223 307581,84 regent street city centre,c.b 2,busy,moderate
the lucky star,cheap,south,chinese,01223 244277,cambridge leisure park clifton way cherry hinton,c.b 1,calm,moderate
royal spice,cheap,north,indian,01733 553355,victoria avenue chesterton,c.b 4,moderate,short
ask,cheap,centre,seafood,01223 364917,12 bridge street city centre,c.b 2,busy,moderate
taj tandoori,expensive,south,portuguese,01223 412299,64 cherry hinton road cherry hinton,c.b 1,calm,moderate
tandoori palace,moderate,north,indian,01223 506055,68 histon road chesterton,c.b 4,moderate,short
yippee noodle bar,moderate,centre,asian oriental,01223 518111,40428 king street city centre,c.b 1,busy,moderate
travellers rest,expensive,west,british,01223 276182,huntingdon road city centre,,busy,short
maharajah tandoori restaurant,expensive,east,indian,01223 358399,41518 castle street city centre,c.b 3,busy,short
shanghai family restaurant,moderate,east,chinese,01223 301761,39 burleigh street city centre,,moderate,short
curry prince,expensive,east,indian,01223 566388,451 newmarket road fen ditton,c.b 5,busy,short
the gandhi,cheap,centre,indian,01223 353942,72 regent street city centre,,busy,short
kymmoy,expensive,centre,asian oriental,01223 311911,52 mill road city centre,c.b 1,moderate,moderate
golden house,cheap,centre,polynesian,01842 753771,12 lensfield road city centre,,calm,short
bedouin,expensive,centre,african,01223 367660,100 mill road city centre,c.b 1,calm,short
pipasha restaurant,expensive,east,indian,01223 577786,newmarket road fen ditton,c.b 5,moderate,long
charlie chan,cheap,centre,chinese,01223 361763,regent street city centre,c.b 2,busy,long
lan hong house,moderate,centre,thai,01223 350420,12 norfolk street city centre,,calm,long
la tasca,moderate,centre,spanish,01223 464630,14 -16 bridge street,c.b 2,busy,moderate
backstreet bistro,expensive,south,gastropub,01223 306306,2 sturton street city centre,c.b 1,moderate,short
la raza,cheap,centre,spanish,01223 464550,4 - 6 rose crescent,c.b 2,moderate,long
the slug and lettuce,expensive,east,gastropub,dontcare,34 - 35 green street,c.b 2,moderate,long
restaurant one seven,moderate,north,british,01223 337766,de vere university arms regent street city centre,,calm,long
fitzbillies restaurant,expensive,centre,british,01223 352500,51 trumpington street city centre,,calm,moderate
anatolia,moderate,centre,turkish,01223 362372,30 bridge street city centre,c.b 2,calm,moderate
clowns cafe,moderate,centre,bistro,01223 355711,,c.b 1,busy,long
kohinoor,cheap,west,indian,01223 323639,74 mill road city centre,,busy,short
the cambridge chop house,cheap,centre,british,01223 359506,1 kings parade,,moderate,long
gourmet burger kitchen,expensive,centre,north american,01223 312598,regent street city centre,c.b 2,calm,short
la mimosa,expensive,centre,mediterranean,01223 362525,thompsons lane fen ditton,c.b 5,calm,moderate
meze bar restaurant,expensive,centre,turkish,,196 mill road city centre,c.b 1,moderate,long
the golden curry,expensive,south,australasian,01223 329432,,,calm,long
curry queen,moderate,,indian,,106 mill road city centre,c.b 1,moderate,short
hakka,cheap,north,persian,01223 568988,milton road chesterton,c.b 4,calm,long
the oak bistro,moderate,centre,british,01223 323361,6 lensfield road,,moderate,long
riverside brasserie,moderate,centre,gastropub,01223 259988,doubletree by hilton cambridge granta place mill lane,,moderate,long
the copper kettle,moderate,east,british,01223 365068,4 kings parade city centre,c.b 2,calm,moderate
zizzi cambridge,expensive,south,italian,01223 365599,47-53 regent street,,calm,long
saffron brasserie,expensive,centre,jamaican,,,,moderate,short
india house,expensive,west,indian,01223 461661,31 newnham road newnham,,moderate,short
ali baba,moderate,centre,lebanese,01462 432565,59 hills road city centre,c.b 2,busy,moderate
rice boat,expensive,north,indian,01223 302800,37 newnham road newnham,,moderate,short
midsummer house restaurant,expensive,centre,british,01223 369299,midsummer common,,calm,long
hotel du vin and bistro,moderate,centre,european,01223 227330,15 - 19 trumpington street,c.b 2,busy,long
darrys cookhouse and wine shop,expensive,south,modern european,01223 505015,40270 king street city centre,c.b 1,moderate,long
pizza express,cheap,centre,spanish,01223 324033,,c.b 2,busy,short
jinling noodle bar,moderate,centre,cuban,01223 566188,11 peas hill city centre,c.b 2,busy,moderate
graffiti,moderate,north,indian,01223 277977,hotel felix whitehouse lane huntingdon road,c.b 3,calm,short
wagamama,expensive,centre,japanese,01223 462354,36 saint andrews street,c.b 2,moderate,short
pizza hut city centre,cheap,centre,italian,01223 323737,regent street city centre,,moderate,short
curry king,expensive,centre,seafood,01223 324351,5 jordans yard bridge street city centre,,calm,short
panahar,expensive,centre,mediterranean,,,,calm,short
ugly duckling,expensive,centre,catalan,,12 st. johns street city centre,,calm,long
pizza express fen ditton,moderate,centre,european,,jesus lane fen ditton,,busy,moderate
sesame restaurant and bar,moderate,,turkish,,,,busy,long
hk fusion,expensive,centre,thai,,21 burleigh street city centre,c.b 1,calm,long
